bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
如何阅读一本书,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,8.4,56085,读书的方法论,https://img1.doubanio.com/view/subject/m/public/s1670978.jpg
喜宝,亦舒 / 新世界出版社 / 2007-2 / 22.00元,8.0,59142,爱情才是终极的奢侈品,https://img1.doubanio.com/view/subject/m/public/s5813979.jpg
孩子你慢慢来,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.8,53119,我们现在怎样做母亲,https://img9.doubanio.com/view/subject/m/public/s4124434.jpg
这些人，那些事,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,52626,平淡叙述下的惊心动魄,https://img3.doubanio.com/view/subject/m/public/s6828981.jpg
麦琪的礼物,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,51050,日常的奇迹,https://img3.doubanio.com/view/subject/m/public/s1137441.jpg
流浪地球,刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元,8.6,52122,刘慈欣获中国科幻银河奖的中短篇小说集,https://img9.doubanio.com/view/subject/m/public/s5961934.jpg
查令十字街84号,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元,8.3,52979,文艺青年的爱情地标,https://img9.doubanio.com/view/subject/m/public/s1326174.jpg
雷雨,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.6,50316,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了,https://img1.doubanio.com/view/subject/m/public/s23579217.jpg
西游记（全二册）,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,8.9,47658,取经之路就在脚下,https://img9.doubanio.com/view/subject/m/public/s1627374.jpg
水浒传（全二册）,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.6,49287,风风火火闯九州,https://img1.doubanio.com/view/subject/m/public/s1436519.jpg
菊与刀,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,8.2,52845,复杂矛盾的日本民族,https://img9.doubanio.com/view/subject/m/public/s1074166.jpg
刀锋,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,46579,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://img3.doubanio.com/view/subject/m/public/s2347562.jpg
我与地坛,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.0,45392,这是你的罪孽与福祉,https://img1.doubanio.com/view/subject/m/public/s1151479.jpg
狂人日记,鲁迅 / 京华出版社 / 2006-3 / 39.80元,8.7,46058,中国现代文学史上第一篇真正的现代白话小说,https://img1.doubanio.com/view/subject/m/public/s1426308.jpg
最好的我们,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.8,45990,耿耿余淮,https://img9.doubanio.com/view/subject/m/public/s26720726.jpg
富爸爸，穷爸爸,（美）罗伯特・T・清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80,8.3,49270,人穷穷观念，人富钱生钱,https://img3.doubanio.com/view/subject/m/public/s1429010.jpg
地下铁,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,49176,黑暗世界中的点滴亮光,https://img3.doubanio.com/view/subject/m/public/s1672971.jpg
步步惊心,桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,50906,现世太苦，不如穿越回去从头来过,https://img9.doubanio.com/view/subject/m/public/s1681146.jpg
球状闪电,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,45877,量子之外，没有真相,https://img3.doubanio.com/view/subject/m/public/s26040205.jpg
尘埃落定,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.5,46501,一个傻子的土司家族传奇,https://img3.doubanio.com/view/subject/m/public/s9140762.jpg
悲惨世界（上中下）,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,8.9,42909,现实主义与浪漫主义的至高杰作,https://img3.doubanio.com/view/subject/m/public/s1148102.jpg
那些回不去的年少时光,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,8.4,45423,所有你曾热爱却正在遗忘的人和事,https://img3.doubanio.com/view/subject/m/public/s4130990.jpg
孤独六讲,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.1,48773,作为一种美学的孤独,https://img3.doubanio.com/view/subject/m/public/s4075572.jpg
呼兰河传,萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9,43671,萧红的童年往事,https://img3.doubanio.com/view/subject/m/public/s1167060.jpg
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9,43470,淡泊，超脱,https://img3.doubanio.com/view/subject/m/public/s1044902.jpg
瓦尔登湖,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,8.4,46132,另一种生活,https://img1.doubanio.com/view/subject/m/public/s1999119.jpg
月亮忘記了,幾米 / 格林 / 2000-2-1 / NT$ 299,8.6,44264,月明星稀的晚上，看不见的，看见了,https://img1.doubanio.com/view/subject/m/public/s1385508.jpg
金锁记,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.5,44289,曹七巧就像希克厉，一个扭曲的英雄,https://img3.doubanio.com/view/subject/m/public/s2976745.jpg
倚天屠龙记(共四册),金庸 / 三联书店 / 1999-04 / 47.00,8.6,43296,不识张郎是张郎,https://img1.doubanio.com/view/subject/m/public/s1829709.jpg
此间的少年,江南 / 华文出版社 / 2004-1 / 25.00元,8.4,45511,象牙塔里的金庸群侠,https://img1.doubanio.com/view/subject/m/public/s1068707.jpg
夏洛的网,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,8.6,43406,猪与蜘蛛,https://img1.doubanio.com/view/subject/m/public/s1120437.jpg
